x,y,z,id
0.8760709166526794,0.7122339606285095,-0.5319823,James Clerk Maxwell
0.9828161001205444,0.4641246795654297,-0.27603051,Charge (physics)
0.7072077989578247,0.325687050819397,-0.39087987,Statistical physics
0.6868212819099426,0.8566617369651794,-0.26726374,Nuclear astrophysics
0.9189261198043823,0.26781773567199707,0.33500561,Continuum mechanics
0.6964960098266602,0.43806901574134827,-0.75777179,Quantum mechanics
0.36131998896598816,0.5494772791862488,-0.14635019,Engineering physics
0.7191619277000427,0.17782409489154816,0.29098877,Physical optics
0.6173930764198303,0.3222816586494446,-0.70549303,Biomechanics
0.4964221715927124,0.05051804333925247,-4.9035214E-02,Health physics
0.7023436427116394,0.7176282405853271,-1.5989462,Atomic theory
0.39894890785217285,0.7556721568107605,0.8178556,Biophysics
0.35761553049087524,0.7192858457565308,-0.8323409,Cardiophysics
0.480109840631485,0.4502559006214142,-0.24566109,Materials physics
0.201063871383667,0.34200379252433777,1.5577402,World
0.9881601929664612,0.3446950316429138,-0.67401451,Polymer physics
0.2949901819229126,0.971696674823761,0.19154185,Soil physics
0.5195280313491821,0.050301432609558105,-0.5106231,Nuclear medicine
0.5995836853981018,0.38203340768814087,7.3607795E-02,Solid mechanics
0.6967454552650452,0.4114498198032379,0.6785751,Mechanics
0.34528693556785583,0.39306876063346863,1.7356175,Natural science
0.6465752124786377,0.8712539076805115,-1.0293671,Stellar physics
0.8057929873466492,0.5176453590393066,0.93807364,Gravity
0.7040677070617676,0.3064021170139313,-0.25627506,Thermodynamics
0.8045575618743896,0.46011629700660706,0.45494038,Motion (physics)
0.900948703289032,0.48825758695602417,1.0598367,Field (physics)
0.5533360242843628,0.6729848980903625,0.32733691,Digital physics
0.8953038454055786,0.4709911346435547,-3.9897759E-02,Quantum field theory
0.7658377289772034,0.5057268738746643,-1.6665099,Celestial mechanics
0.8338322639465332,0.4022246301174164,-1.5842192E-03,Classical mechanics
0.8433031439781189,0.28633520007133484,-1.6710527,Fluid mechanics
0.633343517780304,0.6120758652687073,0.14531049,Experimental physics
0.8491621613502502,0.10376203060150146,-0.27861619,Acoustics
0.42654597759246826,0.29392319917678833,-0.27155313,Space physics
0.868006706237793,0.8781879544258118,-0.9832679,R. P. Feynman
0.921912670135498,0.6157305240631104,-0.40958497,Plasma (physics)
0.8886156678199768,0.3726140856742859,0.65044665,Spacetime
0.6453818678855896,0.4119875133037567,0.24504219,Quantum optics
0.7633007764816284,0.3643123209476471,0.67620218,Energy
0.3630651533603668,0.2819843888282776,-8.7564684E-02,Nature
0.7018938660621643,0.5942138433456421,-0.52759504,Psychophysics
0.673613965511322,0.5437341332435608,0.11476529,Mathematical physics
0.8729056715965271,0.8737891912460327,0.40495792,Matthew Sands
0.4580525755882263,0.6991036534309387,-0.36359933,Virophysics
0.45293936133384705,0.8633397817611694,1.011416,Glossary of physics
0.5185271501541138,0.5557008385658264,-2.3944439E-02,Molecular physics
0.4543949365615845,0.8648421764373779,0.72871071,Glossary of classical physics
0.9634798169136047,0.26105448603630066,-0.28502551,Hamiltonian mechanics
0.5309958457946777,0.6497167944908142,4.0796429E-02,Computational physics
0.3676599860191345,0.5489840507507324,-1.2628996,Applied physics
0.7027906179428101,0.7672178149223328,-1.2238718,Nuclear physics
0.7951779365539551,0.7532858848571777,-0.23366314,International Standard Book Number
0.8918442726135254,0.36363235116004944,-0.14241302,Special relativity
0.6071974039077759,0.5861634612083435,7.3695183E-02,Physics
0.9116694331169128,0.24867095053195953,-0.41595542,Nonlinear optics
0.2843131124973297,0.38372814655303955,-4.9339853E-02,Physis
0.45562541484832764,0.7793793082237244,-0.61896533,Outline of physics
0.5345985889434814,0.41875866055488586,3.5756595E-02,Solid-state physics
0.8599239587783813,0.6153098940849304,0.20585588,Electromagnetism
0.800502359867096,0.5586547255516052,0.3696309,Theory of relativity
0.5556885600090027,0.4733114242553711,0.29357043,Condensed matter physics
0.733067512512207,0,-0.33656502,Universe
0.6190652847290039,0.7271166443824768,-0.16322085,Phenomenology (particle physics)
0.6341646909713745,0.8543151617050171,0.67693657,Astroparticle physics
0.8246632218360901,0.4732888638973236,-1.5576919,Mass
0.572543203830719,0.12377366423606873,4.5978472E-02,Laser medicine
0.8604434728622437,0.42641034722328186,-0.53545171,Force
0.6931212544441223,0.3070865273475647,3.2225654E-02,Statistical mechanics
0.5983390808105469,1,3.7208132E-02,Heliophysics
0.851756751537323,0.8928704857826233,5.2093159E-02,R. B. Leighton
0.9588878154754639,0.2687905430793762,0.35962805,Lagrangian mechanics
0.5125676989555359,0.056332241743803024,-0.28728962,Medical physics
0.3784697353839874,0.2108427882194519,-5.7083972E-02,Atmospheric physics
0.8013297915458679,0.5349076390266418,6.2472172E-02,General relativity
0.7656556367874146,0.6609602570533752,2.9768562E-02,Accelerator physics
0.6472004055976868,0.8709872364997864,-0.57130224,Astrophysics
0.5202735662460327,0.44096848368644714,0.1164801,Mesoscopic physics
0.8777941465377808,0.21555006504058838,-0.91089255,Geometrical optics
0.6361103653907776,0.5107524394989014,-0.64566141,Econophysics
0.8803342580795288,0.18800751864910126,0.41475374,Wave
0.5183974504470825,0.049486398696899414,0.75333023,Medical imaging
0.4956617057323456,0.5700713396072388,0.39210624,Chemical physics
0.4062485992908478,0.2694537043571472,1.1847515E-02,Geophysics
0.43814417719841003,0.6206019520759583,1.0689412,Communication physics
0.6064245700836182,0.9862358570098877,1.2395095,Solar physics
0.6539352536201477,0.6878566145896912,-1.879793,Matter
0.3656887114048004,0.1935173124074936,0.10360141,Cloud physics
0.36035826802253723,0.7808087468147278,0.12885013,Neurophysics
0.7590747475624084,0.18935853242874146,4.2626329E-02,Optics
0.29657065868377686,0.9706918597221375,-0.21543704,Agrophysics
0.4525843858718872,0.45252302289009094,0.47349632,Soft matter
0.5380913615226746,0.30903738737106323,0.29370576,List of physicists
1,0.5979832410812378,-1.2091002,Ballistics
0.869304358959198,0.8850812315940857,-0.18856236,The Feynman Lectures on Physics
0.5690450072288513,0.5343671441078186,-0.40221316,"Atomic, molecular, and optical physics"
0.6366755366325378,0.5727955102920532,0.30631107,Theoretical physics
0.6624557971954346,0.691243052482605,1.5795006,Particle physics